
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0262	0.2336	0.0633	0.1458	0.7985	8.9241	0.5039	0.244	0.175	0.252	0.329
	 -5.0	  0.0	 35.0	0.0295	0.2587	0.0695	0.1460	0.7951	8.7616	0.4979	0.282	0.185	0.220	0.313
	-10.0	  0.0	 35.0	0.0327	0.2823	0.0742	0.1452	0.7924	8.6359	0.4812	0.322	0.186	0.196	0.295
	-15.0	  0.0	 35.0	0.0361	0.3080	0.0791	0.1437	0.7904	8.5403	0.4562	0.366	0.188	0.178	0.268
	-20.0	  0.0	 35.0	0.0399	0.3374	0.0847	0.1417	0.7887	8.4650	0.4258	0.413	0.191	0.161	0.235
	-25.0	  0.0	 35.0	0.0445	0.3736	0.0923	0.1397	0.7873	8.4037	0.3923	0.468	0.200	0.140	0.192
	-30.0	  0.0	 35.0	0.0509	0.4257	0.1044	0.1382	0.7862	8.3562	0.3573	0.538	0.223	0.105	0.135
	-35.0	  0.0	 35.0	0.0669	0.5601	0.1412	0.1412	0.7867	8.3770	0.3218	0.678	0.322	0.000	0.000
	-40.0	  0.0	 35.0	0.0507	0.4257	0.1015	0.1309	0.7871	8.3937	0.2861	0.543	0.212	0.171	0.075
	-45.0	  0.0	 35.0	0.0440	0.3742	0.0857	0.1251	0.7895	8.4995	0.2501	0.482	0.171	0.268	0.079
	-50.0	  0.0	 35.0	0.0393	0.3391	0.0745	0.1201	0.7923	8.6289	0.2133	0.438	0.143	0.348	0.071
	-55.0	  0.0	 35.0	0.0355	0.3118	0.0653	0.1154	0.7954	8.7767	0.1750	0.404	0.118	0.421	0.057
	-60.0	  0.0	 35.0	0.0323	0.2889	0.0574	0.1109	0.7989	8.9433	0.1353	0.375	0.096	0.490	0.039
	-65.0	  0.0	 35.0	0.0294	0.2689	0.0501	0.1065	0.8026	9.1310	0.0950	0.349	0.075	0.556	0.020
	-70.0	  0.0	 35.0	0.0269	0.2509	0.0437	0.1027	0.8065	9.3370	0.0568	0.326	0.055	0.617	0.002
	-75.0	  0.0	 35.0	0.0241	0.2323	0.0362	0.1000	0.8121	9.6451	0.0259	0.304	0.026	0.670	0.000
	-80.0	  0.0	 35.0	0.0218	0.2161	0.0308	0.0986	0.8170	9.9293	0.0074	0.280	0.007	0.712	0.000
	  0.0	180.0	 35.0	0.0265	0.2365	0.0646	0.1458	0.7986	8.9296	0.5039	0.244	0.182	0.252	0.322
	  5.0	180.0	 35.0	0.0236	0.2156	0.0595	0.1445	0.8030	9.1534	0.4979	0.210	0.176	0.292	0.322
	 10.0	180.0	 35.0	0.0208	0.1962	0.0541	0.1422	0.8085	9.4453	0.4812	0.178	0.168	0.341	0.313
	 15.0	180.0	 35.0	0.0182	0.1783	0.0487	0.1393	0.8151	9.8164	0.4562	0.150	0.157	0.394	0.299
	 20.0	180.0	 35.0	0.0158	0.1622	0.0435	0.1360	0.8227	10.2778	0.4258	0.125	0.145	0.449	0.280
	 25.0	180.0	 35.0	0.0137	0.1480	0.0385	0.1326	0.8311	10.8400	0.3923	0.104	0.133	0.503	0.260
	 30.0	180.0	 35.0	0.0119	0.1366	0.0345	0.1297	0.8392	11.4351	0.3573	0.087	0.120	0.556	0.238
	 35.0	180.0	 35.0	0.0105	0.1270	0.0309	0.1269	0.8474	12.1023	0.3218	0.072	0.107	0.606	0.215
	 40.0	180.0	 35.0	0.0093	0.1192	0.0277	0.1241	0.8552	12.8158	0.2861	0.060	0.094	0.653	0.192
	 45.0	180.0	 35.0	0.0084	0.1132	0.0250	0.1215	0.8623	13.5292	0.2501	0.052	0.081	0.698	0.169
	 50.0	180.0	 35.0	0.0077	0.1089	0.0228	0.1189	0.8682	14.1722	0.2133	0.046	0.069	0.741	0.144
	 55.0	180.0	 35.0	0.0073	0.1063	0.0209	0.1164	0.8722	14.6536	0.1750	0.043	0.056	0.782	0.119
	 60.0	180.0	 35.0	0.0070	0.1047	0.0193	0.1139	0.8751	15.0112	0.1353	0.042	0.044	0.822	0.092
	 65.0	180.0	 35.0	0.0067	0.1033	0.0178	0.1116	0.8777	15.3510	0.0950	0.041	0.030	0.864	0.065
	 70.0	180.0	 35.0	0.0065	0.1020	0.0166	0.1096	0.8798	15.6353	0.0568	0.039	0.017	0.904	0.039
	 75.0	180.0	 35.0	0.0064	0.1010	0.0157	0.1082	0.8809	15.7941	0.0259	0.037	0.008	0.937	0.018
	 80.0	180.0	 35.0	0.0063	0.1002	0.0154	0.1076	0.8813	15.8436	0.0074	0.035	0.002	0.958	0.005
