
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0294	0.2139	0.1021	0.1607	0.7581	7.2675	0.7243	0.110	0.484	0.166	0.240
	 -5.0	  0.0	 35.0	0.0315	0.2243	0.1087	0.1628	0.7540	7.1298	0.7224	0.117	0.504	0.160	0.219
	-10.0	  0.0	 35.0	0.0330	0.2324	0.1128	0.1649	0.7514	7.0454	0.7171	0.127	0.507	0.155	0.210
	-15.0	  0.0	 35.0	0.0347	0.2415	0.1173	0.1668	0.7488	6.9627	0.7091	0.140	0.512	0.151	0.198
	-20.0	  0.0	 35.0	0.0367	0.2525	0.1225	0.1685	0.7461	6.8761	0.6992	0.155	0.518	0.146	0.181
	-25.0	  0.0	 35.0	0.0394	0.2667	0.1291	0.1701	0.7428	6.7765	0.6877	0.175	0.530	0.137	0.158
	-30.0	  0.0	 35.0	0.0435	0.2889	0.1395	0.1717	0.7383	6.6410	0.6745	0.208	0.555	0.117	0.119
	-35.0	  0.0	 35.0	0.0583	0.3665	0.1738	0.1738	0.7257	6.2910	0.6591	0.341	0.659	0.000	0.000
	-40.0	  0.0	 35.0	0.0438	0.2926	0.1381	0.1681	0.7397	6.6837	0.6409	0.219	0.544	0.140	0.096
	-45.0	  0.0	 35.0	0.0399	0.2743	0.1254	0.1627	0.7461	6.8761	0.6186	0.202	0.501	0.179	0.117
	-50.0	  0.0	 35.0	0.0374	0.2639	0.1160	0.1571	0.7515	7.0496	0.5904	0.199	0.467	0.211	0.123
	-55.0	  0.0	 35.0	0.0355	0.2571	0.1074	0.1511	0.7571	7.2339	0.5542	0.202	0.433	0.244	0.121
	-60.0	  0.0	 35.0	0.0339	0.2528	0.0989	0.1443	0.7632	7.4476	0.5065	0.211	0.394	0.283	0.112
	-65.0	  0.0	 35.0	0.0325	0.2507	0.0898	0.1365	0.7704	7.7096	0.4430	0.225	0.347	0.332	0.096
	-70.0	  0.0	 35.0	0.0312	0.2510	0.0797	0.1272	0.7788	8.0420	0.3578	0.247	0.287	0.396	0.070
	-75.0	  0.0	 35.0	0.0301	0.2544	0.0681	0.1163	0.7887	8.4657	0.2444	0.278	0.210	0.478	0.035
	-80.0	  0.0	 35.0	0.0286	0.2586	0.0539	0.1045	0.8007	9.0329	0.1050	0.315	0.105	0.580	0.000
	  0.0	180.0	 35.0	0.0301	0.2171	0.1046	0.1604	0.7567	7.2203	0.7243	0.110	0.500	0.166	0.225
	  5.0	180.0	 35.0	0.0287	0.2104	0.1004	0.1576	0.7596	7.3201	0.7224	0.103	0.494	0.174	0.228
	 10.0	180.0	 35.0	0.0275	0.2043	0.0962	0.1546	0.7628	7.4302	0.7171	0.099	0.487	0.184	0.230
	 15.0	180.0	 35.0	0.0263	0.1987	0.0920	0.1514	0.7661	7.5503	0.7091	0.095	0.479	0.195	0.230
	 20.0	180.0	 35.0	0.0252	0.1935	0.0878	0.1481	0.7696	7.6804	0.6992	0.093	0.470	0.208	0.230
	 25.0	180.0	 35.0	0.0241	0.1887	0.0836	0.1448	0.7733	7.8215	0.6877	0.092	0.460	0.221	0.228
	 30.0	180.0	 35.0	0.0234	0.1860	0.0805	0.1425	0.7765	7.9491	0.6745	0.091	0.449	0.235	0.225
	 35.0	180.0	 35.0	0.0227	0.1838	0.0776	0.1402	0.7798	8.0839	0.6591	0.091	0.438	0.250	0.222
	 40.0	180.0	 35.0	0.0222	0.1824	0.0748	0.1380	0.7833	8.2276	0.6409	0.092	0.424	0.267	0.217
	 45.0	180.0	 35.0	0.0217	0.1818	0.0721	0.1360	0.7869	8.3832	0.6186	0.094	0.409	0.288	0.210
	 50.0	180.0	 35.0	0.0213	0.1823	0.0696	0.1340	0.7907	8.5543	0.5904	0.096	0.389	0.313	0.201
	 55.0	180.0	 35.0	0.0210	0.1841	0.0672	0.1322	0.7948	8.7453	0.5542	0.100	0.365	0.346	0.189
	 60.0	180.0	 35.0	0.0209	0.1876	0.0650	0.1307	0.7992	8.9617	0.5065	0.105	0.334	0.388	0.173
	 65.0	180.0	 35.0	0.0210	0.1935	0.0629	0.1296	0.8041	9.2074	0.4430	0.112	0.292	0.445	0.151
	 70.0	180.0	 35.0	0.0214	0.2029	0.0613	0.1293	0.8091	9.4770	0.3578	0.122	0.236	0.520	0.122
	 75.0	180.0	 35.0	0.0223	0.2172	0.0606	0.1302	0.8139	9.7492	0.2444	0.134	0.161	0.621	0.083
	 80.0	180.0	 35.0	0.0237	0.2363	0.0611	0.1330	0.8180	9.9888	0.1050	0.148	0.069	0.747	0.036
