
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0252	0.2278	0.0637	0.1464	0.8009	9.0440	0.5078	0.224	0.183	0.268	0.324
	 -5.0	  0.0	 35.0	0.0283	0.2510	0.0697	0.1467	0.7972	8.8632	0.5020	0.259	0.194	0.239	0.308
	-10.0	  0.0	 35.0	0.0313	0.2729	0.0742	0.1461	0.7943	8.7232	0.4859	0.296	0.196	0.218	0.290
	-15.0	  0.0	 35.0	0.0345	0.2971	0.0789	0.1447	0.7919	8.6117	0.4620	0.337	0.197	0.201	0.265
	-20.0	  0.0	 35.0	0.0382	0.3253	0.0845	0.1429	0.7899	8.5185	0.4331	0.382	0.201	0.185	0.232
	-25.0	  0.0	 35.0	0.0428	0.3607	0.0921	0.1411	0.7881	8.4364	0.4015	0.436	0.210	0.162	0.191
	-30.0	  0.0	 35.0	0.0494	0.4130	0.1045	0.1399	0.7864	8.3627	0.3687	0.508	0.234	0.123	0.135
	-35.0	  0.0	 35.0	0.0666	0.5550	0.1432	0.1432	0.7858	8.3373	0.3354	0.665	0.335	0.000	0.000
	-40.0	  0.0	 35.0	0.0492	0.4132	0.1017	0.1330	0.7871	8.3949	0.3017	0.514	0.223	0.185	0.079
	-45.0	  0.0	 35.0	0.0425	0.3618	0.0857	0.1273	0.7899	8.5209	0.2672	0.452	0.182	0.281	0.085
	-50.0	  0.0	 35.0	0.0378	0.3278	0.0745	0.1223	0.7931	8.6647	0.2311	0.410	0.153	0.358	0.078
	-55.0	  0.0	 35.0	0.0342	0.3019	0.0654	0.1175	0.7964	8.8237	0.1928	0.379	0.128	0.428	0.065
	-60.0	  0.0	 35.0	0.0312	0.2805	0.0575	0.1127	0.8000	8.9990	0.1517	0.353	0.105	0.495	0.047
	-65.0	  0.0	 35.0	0.0285	0.2622	0.0503	0.1081	0.8038	9.1914	0.1086	0.331	0.082	0.560	0.026
	-70.0	  0.0	 35.0	0.0262	0.2460	0.0437	0.1037	0.8077	9.4012	0.0663	0.312	0.060	0.621	0.006
	-75.0	  0.0	 35.0	0.0237	0.2296	0.0365	0.1005	0.8130	9.6962	0.0307	0.295	0.031	0.674	0.000
	-80.0	  0.0	 35.0	0.0215	0.2151	0.0309	0.0988	0.8179	9.9828	0.0087	0.276	0.009	0.715	0.000
	  0.0	180.0	 35.0	0.0255	0.2306	0.0651	0.1464	0.8009	9.0436	0.5078	0.224	0.191	0.268	0.317
	  5.0	180.0	 35.0	0.0228	0.2118	0.0602	0.1450	0.8054	9.2762	0.5020	0.194	0.185	0.304	0.317
	 10.0	180.0	 35.0	0.0203	0.1944	0.0551	0.1428	0.8108	9.5691	0.4859	0.166	0.176	0.348	0.309
	 15.0	180.0	 35.0	0.0180	0.1788	0.0501	0.1399	0.8170	9.9267	0.4620	0.143	0.166	0.395	0.296
	 20.0	180.0	 35.0	0.0159	0.1650	0.0452	0.1367	0.8238	10.3501	0.4331	0.122	0.154	0.444	0.279
	 25.0	180.0	 35.0	0.0141	0.1530	0.0406	0.1333	0.8310	10.8377	0.4015	0.106	0.141	0.493	0.260
	 30.0	180.0	 35.0	0.0127	0.1438	0.0371	0.1307	0.8374	11.2965	0.3687	0.092	0.128	0.539	0.240
	 35.0	180.0	 35.0	0.0116	0.1363	0.0340	0.1281	0.8433	11.7646	0.3354	0.081	0.116	0.583	0.220
	 40.0	180.0	 35.0	0.0107	0.1303	0.0313	0.1257	0.8487	12.2161	0.3017	0.073	0.103	0.625	0.199
	 45.0	180.0	 35.0	0.0100	0.1258	0.0290	0.1234	0.8532	12.6207	0.2672	0.067	0.090	0.666	0.177
	 50.0	180.0	 35.0	0.0095	0.1227	0.0271	0.1212	0.8566	12.9463	0.2311	0.063	0.078	0.706	0.153
	 55.0	180.0	 35.0	0.0092	0.1210	0.0255	0.1190	0.8588	13.1626	0.1928	0.061	0.065	0.746	0.128
	 60.0	180.0	 35.0	0.0090	0.1199	0.0242	0.1168	0.8602	13.3025	0.1517	0.060	0.051	0.788	0.101
	 65.0	180.0	 35.0	0.0089	0.1190	0.0229	0.1147	0.8612	13.4113	0.1086	0.059	0.036	0.832	0.072
	 70.0	180.0	 35.0	0.0088	0.1182	0.0218	0.1129	0.8619	13.4826	0.0663	0.058	0.022	0.876	0.045
	 75.0	180.0	 35.0	0.0087	0.1178	0.0213	0.1117	0.8617	13.4658	0.0307	0.056	0.010	0.913	0.021
	 80.0	180.0	 35.0	0.0088	0.1175	0.0213	0.1114	0.8610	13.3885	0.0087	0.053	0.003	0.938	0.006
