
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0248	0.2244	0.0647	0.1470	0.8012	9.0618	0.5133	0.212	0.193	0.274	0.320
	 -5.0	  0.0	 35.0	0.0277	0.2461	0.0705	0.1474	0.7975	8.8743	0.5078	0.244	0.204	0.248	0.304
	-10.0	  0.0	 35.0	0.0305	0.2666	0.0748	0.1469	0.7944	8.7294	0.4924	0.279	0.206	0.229	0.287
	-15.0	  0.0	 35.0	0.0336	0.2895	0.0794	0.1457	0.7919	8.6105	0.4696	0.317	0.207	0.213	0.262
	-20.0	  0.0	 35.0	0.0372	0.3163	0.0850	0.1441	0.7896	8.5074	0.4422	0.361	0.212	0.197	0.231
	-25.0	  0.0	 35.0	0.0417	0.3507	0.0925	0.1425	0.7875	8.4124	0.4123	0.413	0.222	0.175	0.191
	-30.0	  0.0	 35.0	0.0483	0.4022	0.1051	0.1415	0.7854	8.3210	0.3813	0.485	0.246	0.134	0.136
	-35.0	  0.0	 35.0	0.0662	0.5468	0.1449	0.1449	0.7840	8.2598	0.3497	0.650	0.350	0.000	0.000
	-40.0	  0.0	 35.0	0.0482	0.4026	0.1024	0.1349	0.7861	8.3512	0.3175	0.491	0.235	0.192	0.083
	-45.0	  0.0	 35.0	0.0415	0.3522	0.0864	0.1293	0.7893	8.4921	0.2840	0.430	0.194	0.286	0.090
	-50.0	  0.0	 35.0	0.0370	0.3196	0.0752	0.1242	0.7927	8.6461	0.2484	0.391	0.164	0.361	0.085
	-55.0	  0.0	 35.0	0.0335	0.2951	0.0662	0.1193	0.7962	8.8128	0.2097	0.362	0.138	0.429	0.072
	-60.0	  0.0	 35.0	0.0306	0.2752	0.0582	0.1144	0.7999	8.9941	0.1672	0.339	0.113	0.494	0.054
	-65.0	  0.0	 35.0	0.0281	0.2583	0.0510	0.1094	0.8037	9.1908	0.1216	0.321	0.090	0.558	0.032
	-70.0	  0.0	 35.0	0.0259	0.2436	0.0443	0.1046	0.8077	9.4020	0.0756	0.305	0.066	0.619	0.010
	-75.0	  0.0	 35.0	0.0237	0.2291	0.0372	0.1009	0.8128	9.6836	0.0356	0.291	0.036	0.673	0.000
	-80.0	  0.0	 35.0	0.0216	0.2157	0.0313	0.0989	0.8177	9.9732	0.0101	0.276	0.010	0.713	0.000
	  0.0	180.0	 35.0	0.0251	0.2273	0.0660	0.1470	0.8011	9.0565	0.5133	0.212	0.201	0.274	0.313
	  5.0	180.0	 35.0	0.0226	0.2100	0.0613	0.1456	0.8056	9.2860	0.5078	0.184	0.195	0.308	0.313
	 10.0	180.0	 35.0	0.0203	0.1943	0.0565	0.1433	0.8107	9.5678	0.4924	0.160	0.186	0.348	0.306
	 15.0	180.0	 35.0	0.0182	0.1803	0.0517	0.1405	0.8165	9.9021	0.4696	0.140	0.175	0.391	0.294
	 20.0	180.0	 35.0	0.0163	0.1680	0.0470	0.1373	0.8228	10.2854	0.4422	0.122	0.163	0.435	0.279
	 25.0	180.0	 35.0	0.0147	0.1574	0.0427	0.1340	0.8292	10.7118	0.4123	0.109	0.151	0.479	0.261
	 30.0	180.0	 35.0	0.0135	0.1496	0.0395	0.1316	0.8345	11.0820	0.3813	0.097	0.138	0.521	0.243
	 35.0	180.0	 35.0	0.0125	0.1434	0.0366	0.1293	0.8392	11.4405	0.3497	0.089	0.125	0.562	0.224
	 40.0	180.0	 35.0	0.0118	0.1384	0.0342	0.1271	0.8434	11.7682	0.3175	0.082	0.113	0.601	0.205
	 45.0	180.0	 35.0	0.0112	0.1348	0.0322	0.1250	0.8467	12.0463	0.2840	0.077	0.100	0.639	0.184
	 50.0	180.0	 35.0	0.0108	0.1324	0.0305	0.1230	0.8491	12.2580	0.2484	0.074	0.087	0.677	0.161
	 55.0	180.0	 35.0	0.0106	0.1311	0.0290	0.1209	0.8506	12.3891	0.2097	0.073	0.073	0.717	0.136
	 60.0	180.0	 35.0	0.0105	0.1305	0.0278	0.1189	0.8515	12.4637	0.1672	0.073	0.058	0.760	0.109
	 65.0	180.0	 35.0	0.0104	0.1300	0.0266	0.1169	0.8519	12.5078	0.1216	0.072	0.043	0.806	0.079
	 70.0	180.0	 35.0	0.0104	0.1297	0.0257	0.1153	0.8520	12.5138	0.0756	0.071	0.026	0.853	0.050
	 75.0	180.0	 35.0	0.0104	0.1298	0.0253	0.1142	0.8513	12.4475	0.0356	0.069	0.012	0.895	0.024
	 80.0	180.0	 35.0	0.0105	0.1300	0.0255	0.1142	0.8500	12.3319	0.0101	0.066	0.003	0.924	0.007
