
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0245	0.2209	0.0667	0.1481	0.8002	9.0085	0.5252	0.198	0.210	0.277	0.315
	 -5.0	  0.0	 35.0	0.0273	0.2407	0.0723	0.1486	0.7964	8.8245	0.5201	0.226	0.222	0.254	0.298
	-10.0	  0.0	 35.0	0.0299	0.2593	0.0765	0.1483	0.7934	8.6825	0.5058	0.257	0.224	0.237	0.282
	-15.0	  0.0	 35.0	0.0327	0.2803	0.0810	0.1474	0.7908	8.5618	0.4848	0.292	0.226	0.223	0.258
	-20.0	  0.0	 35.0	0.0361	0.3053	0.0865	0.1462	0.7884	8.4531	0.4596	0.332	0.231	0.208	0.229
	-25.0	  0.0	 35.0	0.0405	0.3379	0.0940	0.1449	0.7861	8.3485	0.4322	0.382	0.242	0.186	0.191
	-30.0	  0.0	 35.0	0.0470	0.3878	0.1067	0.1442	0.7836	8.2421	0.4037	0.452	0.267	0.144	0.137
	-35.0	  0.0	 35.0	0.0656	0.5347	0.1478	0.1478	0.7813	8.1461	0.3744	0.626	0.374	0.000	0.000
	-40.0	  0.0	 35.0	0.0470	0.3884	0.1041	0.1380	0.7842	8.2689	0.3441	0.459	0.256	0.197	0.088
	-45.0	  0.0	 35.0	0.0404	0.3399	0.0881	0.1324	0.7877	8.4208	0.3119	0.401	0.214	0.287	0.098
	-50.0	  0.0	 35.0	0.0361	0.3093	0.0770	0.1273	0.7912	8.5803	0.2767	0.365	0.183	0.358	0.094
	-55.0	  0.0	 35.0	0.0328	0.2868	0.0680	0.1222	0.7949	8.7496	0.2373	0.340	0.155	0.423	0.082
	-60.0	  0.0	 35.0	0.0301	0.2688	0.0600	0.1170	0.7986	8.9316	0.1928	0.322	0.129	0.485	0.064
	-65.0	  0.0	 35.0	0.0278	0.2537	0.0526	0.1115	0.8025	9.1274	0.1433	0.308	0.103	0.549	0.041
	-70.0	  0.0	 35.0	0.0258	0.2409	0.0457	0.1062	0.8065	9.3340	0.0915	0.298	0.076	0.611	0.016
	-75.0	  0.0	 35.0	0.0239	0.2287	0.0387	0.1016	0.8111	9.5886	0.0443	0.289	0.044	0.667	0.000
	-80.0	  0.0	 35.0	0.0219	0.2168	0.0322	0.0990	0.8162	9.8808	0.0125	0.279	0.013	0.708	0.000
	  0.0	180.0	 35.0	0.0249	0.2238	0.0681	0.1481	0.7999	8.9974	0.5252	0.198	0.219	0.277	0.307
	  5.0	180.0	 35.0	0.0226	0.2084	0.0637	0.1466	0.8041	9.2088	0.5201	0.174	0.212	0.306	0.308
	 10.0	180.0	 35.0	0.0206	0.1946	0.0591	0.1443	0.8088	9.4606	0.5058	0.154	0.204	0.341	0.302
	 15.0	180.0	 35.0	0.0187	0.1824	0.0545	0.1415	0.8139	9.7496	0.4848	0.137	0.193	0.378	0.292
	 20.0	180.0	 35.0	0.0171	0.1718	0.0501	0.1384	0.8193	10.0699	0.4596	0.123	0.181	0.417	0.278
	 25.0	180.0	 35.0	0.0156	0.1626	0.0460	0.1353	0.8248	10.4149	0.4322	0.112	0.169	0.455	0.264
	 30.0	180.0	 35.0	0.0146	0.1562	0.0431	0.1331	0.8289	10.6874	0.4037	0.104	0.156	0.493	0.248
	 35.0	180.0	 35.0	0.0138	0.1511	0.0405	0.1310	0.8325	10.9393	0.3744	0.097	0.143	0.529	0.231
	 40.0	180.0	 35.0	0.0132	0.1471	0.0383	0.1291	0.8355	11.1592	0.3441	0.092	0.131	0.564	0.213
	 45.0	180.0	 35.0	0.0127	0.1443	0.0365	0.1272	0.8379	11.3377	0.3119	0.089	0.118	0.599	0.194
	 50.0	180.0	 35.0	0.0124	0.1425	0.0349	0.1254	0.8396	11.4671	0.2767	0.087	0.104	0.636	0.173
	 55.0	180.0	 35.0	0.0123	0.1417	0.0336	0.1236	0.8405	11.5416	0.2373	0.086	0.089	0.676	0.148
	 60.0	180.0	 35.0	0.0122	0.1415	0.0324	0.1217	0.8410	11.5750	0.1928	0.086	0.072	0.721	0.121
	 65.0	180.0	 35.0	0.0122	0.1415	0.0313	0.1198	0.8410	11.5790	0.1433	0.086	0.054	0.770	0.090
	 70.0	180.0	 35.0	0.0123	0.1419	0.0305	0.1183	0.8405	11.5426	0.0915	0.086	0.034	0.822	0.057
	 75.0	180.0	 35.0	0.0125	0.1427	0.0303	0.1174	0.8393	11.4460	0.0443	0.085	0.016	0.870	0.028
	 80.0	180.0	 35.0	0.0127	0.1438	0.0308	0.1177	0.8375	11.3048	0.0125	0.083	0.004	0.905	0.008
