
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0258	0.2130	0.0807	0.1541	0.7838	8.2521	0.6049	0.154	0.316	0.241	0.289
	 -5.0	  0.0	 35.0	0.0280	0.2259	0.0864	0.1553	0.7796	8.0730	0.6015	0.170	0.331	0.229	0.271
	-10.0	  0.0	 35.0	0.0299	0.2374	0.0902	0.1560	0.7764	7.9460	0.5919	0.189	0.334	0.219	0.258
	-15.0	  0.0	 35.0	0.0320	0.2507	0.0944	0.1563	0.7734	7.8250	0.5779	0.211	0.338	0.211	0.240
	-20.0	  0.0	 35.0	0.0347	0.2670	0.0996	0.1564	0.7702	7.7019	0.5609	0.239	0.344	0.200	0.217
	-25.0	  0.0	 35.0	0.0382	0.2887	0.1066	0.1564	0.7665	7.5661	0.5421	0.274	0.356	0.184	0.186
	-30.0	  0.0	 35.0	0.0437	0.3236	0.1185	0.1566	0.7618	7.3976	0.5218	0.328	0.384	0.150	0.138
	-35.0	  0.0	 35.0	0.0620	0.4396	0.1591	0.1591	0.7528	7.0896	0.4998	0.500	0.500	0.000	0.000
	-40.0	  0.0	 35.0	0.0439	0.3259	0.1165	0.1517	0.7628	7.4308	0.4752	0.338	0.373	0.187	0.102
	-45.0	  0.0	 35.0	0.0384	0.2940	0.1017	0.1463	0.7688	7.6497	0.4470	0.299	0.327	0.254	0.120
	-50.0	  0.0	 35.0	0.0351	0.2754	0.0913	0.1410	0.7740	7.8494	0.4135	0.280	0.292	0.307	0.122
	-55.0	  0.0	 35.0	0.0326	0.2625	0.0825	0.1352	0.7790	8.0515	0.3726	0.271	0.259	0.357	0.114
	-60.0	  0.0	 35.0	0.0306	0.2530	0.0742	0.1289	0.7842	8.2690	0.3221	0.268	0.224	0.410	0.098
	-65.0	  0.0	 35.0	0.0289	0.2459	0.0659	0.1219	0.7897	8.5107	0.2600	0.271	0.186	0.469	0.074
	-70.0	  0.0	 35.0	0.0274	0.2408	0.0576	0.1141	0.7955	8.7783	0.1859	0.278	0.143	0.536	0.043
	-75.0	  0.0	 35.0	0.0262	0.2377	0.0494	0.1061	0.8011	9.0559	0.1046	0.290	0.096	0.606	0.009
	-80.0	  0.0	 35.0	0.0245	0.2315	0.0394	0.1001	0.8084	9.4396	0.0331	0.300	0.033	0.667	0.000
	  0.0	180.0	 35.0	0.0263	0.2157	0.0825	0.1540	0.7829	8.2129	0.6049	0.154	0.326	0.241	0.278
	  5.0	180.0	 35.0	0.0247	0.2066	0.0786	0.1520	0.7866	8.3704	0.6015	0.141	0.320	0.257	0.281
	 10.0	180.0	 35.0	0.0232	0.1984	0.0745	0.1496	0.7905	8.5454	0.5919	0.131	0.312	0.277	0.280
	 15.0	180.0	 35.0	0.0219	0.1911	0.0704	0.1468	0.7946	8.7351	0.5779	0.123	0.301	0.299	0.277
	 20.0	180.0	 35.0	0.0207	0.1847	0.0664	0.1439	0.7987	8.9367	0.5609	0.117	0.290	0.322	0.271
	 25.0	180.0	 35.0	0.0196	0.1790	0.0625	0.1409	0.8029	9.1482	0.5421	0.113	0.278	0.345	0.264
	 30.0	180.0	 35.0	0.0189	0.1758	0.0599	0.1391	0.8060	9.3088	0.5218	0.109	0.266	0.369	0.256
	 35.0	180.0	 35.0	0.0183	0.1733	0.0576	0.1373	0.8088	9.4611	0.4998	0.107	0.253	0.393	0.247
	 40.0	180.0	 35.0	0.0179	0.1717	0.0555	0.1357	0.8114	9.6037	0.4752	0.106	0.239	0.419	0.236
	 45.0	180.0	 35.0	0.0176	0.1709	0.0536	0.1340	0.8137	9.7358	0.4470	0.106	0.224	0.447	0.223
	 50.0	180.0	 35.0	0.0174	0.1710	0.0519	0.1325	0.8158	9.8569	0.4135	0.107	0.207	0.480	0.207
	 55.0	180.0	 35.0	0.0173	0.1722	0.0504	0.1309	0.8176	9.9664	0.3726	0.109	0.186	0.519	0.186
	 60.0	180.0	 35.0	0.0173	0.1743	0.0490	0.1293	0.8193	10.0666	0.3221	0.112	0.161	0.566	0.161
	 65.0	180.0	 35.0	0.0175	0.1777	0.0478	0.1279	0.8207	10.1552	0.2600	0.115	0.130	0.625	0.130
	 70.0	180.0	 35.0	0.0179	0.1824	0.0469	0.1268	0.8217	10.2161	0.1859	0.120	0.093	0.694	0.093
	 75.0	180.0	 35.0	0.0185	0.1888	0.0468	0.1264	0.8218	10.2207	0.1046	0.124	0.052	0.771	0.052
	 80.0	180.0	 35.0	0.0193	0.1958	0.0478	0.1274	0.8207	10.1566	0.0331	0.127	0.016	0.840	0.017
