
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0331	0.1953	0.1165	0.1591	0.7101	5.8995	0.8325	0.071	0.662	0.097	0.170
	 -5.0	  0.0	 35.0	0.0351	0.2070	0.1238	0.1621	0.7098	5.8919	0.8315	0.075	0.682	0.094	0.150
	-10.0	  0.0	 35.0	0.0366	0.2151	0.1286	0.1656	0.7095	5.8836	0.8289	0.080	0.685	0.091	0.144
	-15.0	  0.0	 35.0	0.0381	0.2240	0.1336	0.1689	0.7093	5.8805	0.8248	0.086	0.688	0.089	0.137
	-20.0	  0.0	 35.0	0.0398	0.2344	0.1391	0.1721	0.7095	5.8836	0.8194	0.094	0.693	0.087	0.126
	-25.0	  0.0	 35.0	0.0420	0.2474	0.1456	0.1752	0.7099	5.8953	0.8129	0.104	0.702	0.083	0.111
	-30.0	  0.0	 35.0	0.0450	0.2666	0.1547	0.1783	0.7111	5.9237	0.8050	0.120	0.720	0.075	0.085
	-35.0	  0.0	 35.0	0.0558	0.3408	0.1821	0.1821	0.7185	6.1041	0.7955	0.205	0.795	0.000	0.000
	-40.0	  0.0	 35.0	0.0453	0.2704	0.1540	0.1761	0.7130	5.9682	0.7836	0.131	0.712	0.086	0.072
	-45.0	  0.0	 35.0	0.0425	0.2550	0.1435	0.1708	0.7142	5.9983	0.7685	0.127	0.680	0.105	0.089
	-50.0	  0.0	 35.0	0.0406	0.2456	0.1351	0.1653	0.7166	6.0564	0.7488	0.130	0.653	0.122	0.096
	-55.0	  0.0	 35.0	0.0389	0.2390	0.1272	0.1595	0.7199	6.1396	0.7227	0.137	0.626	0.141	0.097
	-60.0	  0.0	 35.0	0.0375	0.2343	0.1191	0.1532	0.7243	6.2549	0.6870	0.148	0.593	0.165	0.094
	-65.0	  0.0	 35.0	0.0361	0.2314	0.1104	0.1461	0.7303	6.4167	0.6369	0.165	0.550	0.198	0.087
	-70.0	  0.0	 35.0	0.0347	0.2309	0.1002	0.1377	0.7386	6.6518	0.5639	0.190	0.491	0.246	0.073
	-75.0	  0.0	 35.0	0.0334	0.2342	0.0874	0.1272	0.7504	7.0121	0.4519	0.229	0.402	0.319	0.050
	-80.0	  0.0	 35.0	0.0319	0.2425	0.0697	0.1131	0.7676	7.6051	0.2689	0.290	0.258	0.441	0.011
	  0.0	180.0	 35.0	0.0338	0.1994	0.1192	0.1586	0.7104	5.9052	0.8325	0.071	0.678	0.097	0.154
	  5.0	180.0	 35.0	0.0325	0.1923	0.1145	0.1549	0.7111	5.9236	0.8315	0.068	0.674	0.101	0.157
	 10.0	180.0	 35.0	0.0312	0.1856	0.1098	0.1511	0.7121	5.9469	0.8289	0.066	0.670	0.105	0.159
	 15.0	180.0	 35.0	0.0300	0.1791	0.1052	0.1472	0.7133	5.9756	0.8248	0.064	0.664	0.111	0.160
	 20.0	180.0	 35.0	0.0288	0.1729	0.1005	0.1433	0.7147	6.0102	0.8194	0.063	0.658	0.117	0.161
	 25.0	180.0	 35.0	0.0276	0.1671	0.0959	0.1394	0.7164	6.0516	0.8129	0.063	0.651	0.124	0.162
	 30.0	180.0	 35.0	0.0267	0.1626	0.0920	0.1362	0.7182	6.0983	0.8050	0.063	0.644	0.132	0.161
	 35.0	180.0	 35.0	0.0258	0.1585	0.0882	0.1330	0.7204	6.1536	0.7955	0.064	0.635	0.141	0.160
	 40.0	180.0	 35.0	0.0249	0.1549	0.0845	0.1300	0.7230	6.2196	0.7836	0.065	0.625	0.151	0.159
	 45.0	180.0	 35.0	0.0241	0.1519	0.0808	0.1271	0.7260	6.2988	0.7685	0.067	0.612	0.165	0.157
	 50.0	180.0	 35.0	0.0234	0.1497	0.0773	0.1244	0.7296	6.3951	0.7488	0.070	0.596	0.181	0.153
	 55.0	180.0	 35.0	0.0228	0.1483	0.0738	0.1220	0.7338	6.5137	0.7227	0.074	0.575	0.204	0.148
	 60.0	180.0	 35.0	0.0223	0.1483	0.0705	0.1202	0.7390	6.6616	0.6870	0.079	0.547	0.234	0.141
	 65.0	180.0	 35.0	0.0219	0.1503	0.0675	0.1191	0.7452	6.8486	0.6369	0.086	0.507	0.277	0.130
	 70.0	180.0	 35.0	0.0219	0.1554	0.0648	0.1193	0.7527	7.0876	0.5639	0.097	0.449	0.339	0.115
	 75.0	180.0	 35.0	0.0224	0.1660	0.0630	0.1219	0.7618	7.3946	0.4519	0.114	0.359	0.434	0.092
	 80.0	180.0	 35.0	0.0238	0.1858	0.0626	0.1289	0.7725	7.7906	0.2689	0.140	0.214	0.591	0.055
