
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0247	0.2178	0.0710	0.1502	0.7964	8.8215	0.5505	0.180	0.244	0.270	0.306
	 -5.0	  0.0	 35.0	0.0272	0.2350	0.0766	0.1510	0.7927	8.6500	0.5460	0.203	0.257	0.251	0.289
	-10.0	  0.0	 35.0	0.0295	0.2510	0.0806	0.1511	0.7899	8.5194	0.5336	0.229	0.260	0.238	0.274
	-15.0	  0.0	 35.0	0.0320	0.2693	0.0850	0.1506	0.7873	8.4036	0.5154	0.259	0.263	0.226	0.253
	-20.0	  0.0	 35.0	0.0351	0.2915	0.0903	0.1499	0.7848	8.2945	0.4936	0.294	0.268	0.213	0.225
	-25.0	  0.0	 35.0	0.0392	0.3209	0.0978	0.1492	0.7822	8.1847	0.4697	0.338	0.280	0.192	0.190
	-30.0	  0.0	 35.0	0.0455	0.3672	0.1104	0.1489	0.7794	8.0658	0.4447	0.403	0.306	0.152	0.138
	-35.0	  0.0	 35.0	0.0646	0.5123	0.1526	0.1526	0.7760	7.9302	0.4184	0.582	0.418	0.000	0.000
	-40.0	  0.0	 35.0	0.0455	0.3684	0.1080	0.1433	0.7800	8.0917	0.3905	0.411	0.295	0.198	0.095
	-45.0	  0.0	 35.0	0.0393	0.3240	0.0922	0.1377	0.7839	8.2549	0.3598	0.359	0.251	0.281	0.109
	-50.0	  0.0	 35.0	0.0353	0.2970	0.0812	0.1324	0.7877	8.4197	0.3251	0.330	0.218	0.345	0.107
	-55.0	  0.0	 35.0	0.0323	0.2775	0.0722	0.1271	0.7915	8.5919	0.2847	0.311	0.189	0.404	0.096
	-60.0	  0.0	 35.0	0.0299	0.2624	0.0641	0.1213	0.7954	8.7768	0.2373	0.300	0.159	0.463	0.078
	-65.0	  0.0	 35.0	0.0279	0.2501	0.0564	0.1152	0.7995	8.9766	0.1822	0.293	0.128	0.525	0.054
	-70.0	  0.0	 35.0	0.0261	0.2400	0.0490	0.1088	0.8037	9.1878	0.1215	0.289	0.096	0.589	0.025
	-75.0	  0.0	 35.0	0.0246	0.2313	0.0420	0.1030	0.8079	9.4107	0.0619	0.289	0.062	0.649	0.000
	-80.0	  0.0	 35.0	0.0227	0.2209	0.0340	0.0994	0.8136	9.7294	0.0179	0.287	0.018	0.696	0.000
	  0.0	180.0	 35.0	0.0251	0.2207	0.0726	0.1501	0.7960	8.8029	0.5505	0.180	0.253	0.270	0.297
	  5.0	180.0	 35.0	0.0231	0.2078	0.0684	0.1485	0.7997	8.9837	0.5460	0.161	0.247	0.293	0.299
	 10.0	180.0	 35.0	0.0214	0.1963	0.0640	0.1462	0.8038	9.1921	0.5336	0.145	0.238	0.321	0.295
	 15.0	180.0	 35.0	0.0198	0.1862	0.0597	0.1434	0.8081	9.4240	0.5154	0.133	0.228	0.352	0.288
	 20.0	180.0	 35.0	0.0183	0.1773	0.0556	0.1405	0.8126	9.6741	0.4936	0.123	0.216	0.384	0.278
	 25.0	180.0	 35.0	0.0171	0.1696	0.0516	0.1374	0.8171	9.9377	0.4697	0.115	0.204	0.415	0.266
	 30.0	180.0	 35.0	0.0162	0.1646	0.0489	0.1355	0.8203	10.1297	0.4447	0.109	0.191	0.446	0.254
	 35.0	180.0	 35.0	0.0156	0.1606	0.0466	0.1337	0.8231	10.3035	0.4184	0.105	0.178	0.477	0.240
	 40.0	180.0	 35.0	0.0151	0.1577	0.0445	0.1319	0.8254	10.4535	0.3905	0.102	0.165	0.508	0.225
	 45.0	180.0	 35.0	0.0147	0.1556	0.0428	0.1303	0.8272	10.5758	0.3598	0.100	0.151	0.540	0.208
	 50.0	180.0	 35.0	0.0145	0.1545	0.0412	0.1286	0.8286	10.6670	0.3251	0.099	0.136	0.576	0.189
	 55.0	180.0	 35.0	0.0144	0.1543	0.0399	0.1269	0.8294	10.7241	0.2847	0.100	0.119	0.616	0.166
	 60.0	180.0	 35.0	0.0144	0.1547	0.0387	0.1252	0.8298	10.7527	0.2373	0.101	0.099	0.662	0.138
	 65.0	180.0	 35.0	0.0145	0.1556	0.0376	0.1236	0.8299	10.7546	0.1822	0.102	0.076	0.716	0.106
	 70.0	180.0	 35.0	0.0147	0.1572	0.0368	0.1222	0.8293	10.7160	0.1215	0.103	0.051	0.775	0.071
	 75.0	180.0	 35.0	0.0150	0.1595	0.0367	0.1215	0.8279	10.6207	0.0619	0.104	0.026	0.834	0.036
	 80.0	180.0	 35.0	0.0155	0.1620	0.0375	0.1220	0.8257	10.4771	0.0179	0.103	0.007	0.879	0.011
